LineId,Time,Time,Content,EventId,EventTemplate,ParameterList
12,"{""host"":""login01"",""ident"":""CROND"",""pid"":""8025"",""message"":""(root)","{""host"":""login01"",""ident"":""CROND"",""pid"":""8025"",""message"":""(root)","CMD ( /cinecalocal/nagios/passive/passive.pl --delay 20 --cronid 1 1>/dev/null 2>&1)"",""severity"":""info"",""facility"":""cron"",""time"":""2024-03-27 00:10:01 +0100""}",0b8b7295,"CMD ( /cinecalocal/nagios/passive/passive.pl --delay 20 --cronid <*> 1>/dev/null 2>&1)"",""severity"":""info"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}","['1 1>', '00:10:01']"
13,"{""host"":""login01"",""ident"":""CROND"",""pid"":""14516"",""message"":""(acctdata)","{""host"":""login01"",""ident"":""CROND"",""pid"":""14516"",""message"":""(acctdata)","CMD ( /bin/timeout 239m /cineca/asdata/bin/cindata.pl g  >/tmp/lastcron_cindata  2>&1)"",""severity"":""info"",""facility"":""cron"",""time"":""2024-03-27 00:15:01 +0100""}",9627c7b3,"CMD ( /bin/timeout 239m /cineca/asdata/bin/cindata.pl g >/tmp/lastcron_cindata 2>&1)"",""severity"":""info"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}",['00:15:01']
14,"{""host"":""login01"",""ident"":""CROND"",""pid"":""46484"",""message"":""(root)","{""host"":""login01"",""ident"":""CROND"",""pid"":""46484"",""message"":""(root)","CMD ( /cinecalocal/nagios/passive/passive.pl --delay 20 --cronid 1 1>/dev/null 2>&1)"",""severity"":""info"",""facility"":""cron"",""time"":""2024-03-27 00:20:01 +0100""}",0b8b7295,"CMD ( /cinecalocal/nagios/passive/passive.pl --delay 20 --cronid <*> 1>/dev/null 2>&1)"",""severity"":""info"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}","['1 1>', '00:20:01']"
15,"{""host"":""login01"",""ident"":""CROND"",""pid"":""3856"",""message"":""(root)","{""host"":""login01"",""ident"":""CROND"",""pid"":""3856"",""message"":""(root)","CMD ( /cinecalocal/nagios/passive/passive.pl --delay 20 --cronid 1 1>/dev/null 2>&1)"",""severity"":""info"",""facility"":""cron"",""time"":""2024-03-27 00:30:01 +0100""}",0b8b7295,"CMD ( /cinecalocal/nagios/passive/passive.pl --delay 20 --cronid <*> 1>/dev/null 2>&1)"",""severity"":""info"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}","['1 1>', '00:30:01']"
16,"{""host"":""login01"",""ident"":""CROND"",""pid"":""3889"",""message"":""(a07cmc01)","{""host"":""login01"",""ident"":""CROND"",""pid"":""3889"",""message"":""(a07cmc01)","CMD (source /g100_work/CMCC_medfs_0/download/set_env.sh; python /g100_work/CMCC_medfs_0/download/dasDwlSystem/mp_dwld_driver.py > /g100_work/CMCC_medfs_0/download/LOGS/dasDwlSystem/mp_dwld_driver_log_`date +%Y%m%d%H%M%S`.log 2>&1)"",""severity"":""info"",""facility"":""cron"",""time"":""2024-03-27 00:30:01 +0100""}",025a764c,"CMD (source /g100_work/CMCC_medfs_0/download/set_env.sh; python /g100_work/CMCC_medfs_0/download/dasDwlSystem/mp_dwld_driver.py > /g100_work/CMCC_medfs_0/download/LOGS/dasDwlSystem/mp_dwld_driver_log_`date +%Y%m%d%H%M%S`.log 2>&1)"",""severity"":""info"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}",['00:30:01']
17,"{""host"":""login01"",""ident"":""CROND"",""pid"":""15080"",""message"":""(root)","{""host"":""login01"",""ident"":""CROND"",""pid"":""15080"",""message"":""(root)","CMD (/bin/logger \""STATUS_CHECK\"" -p local2.info >> /tmp/lastcron_remote_log_status)"",""severity"":""info"",""facility"":""cron"",""time"":""2024-03-27 00:35:01 +0100""}",ee2aaa0c,"CMD (/bin/logger \""STATUS_CHECK\"" -p local2.info >> /tmp/lastcron_remote_log_status)"",""severity"":""info"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}",['00:35:01']
18,"{""host"":""login01"",""ident"":""CROND"",""pid"":""21555"",""message"":""(root)","{""host"":""login01"",""ident"":""CROND"",""pid"":""21555"",""message"":""(root)","CMD ( /cinecalocal/nagios/passive/passive.pl --delay 20 --cronid 1 1>/dev/null 2>&1)"",""severity"":""info"",""facility"":""cron"",""time"":""2024-03-27 00:40:01 +0100""}",0b8b7295,"CMD ( /cinecalocal/nagios/passive/passive.pl --delay 20 --cronid <*> 1>/dev/null 2>&1)"",""severity"":""info"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}","['1 1>', '00:40:01']"
19,"{""host"":""login01"",""ident"":""CROND"",""pid"":""34730"",""message"":""(acctdata)","{""host"":""login01"",""ident"":""CROND"",""pid"":""34730"",""message"":""(acctdata)","CMD ( /bin/timeout 239m /cineca/asdata/bin/cindata.pl g  >/tmp/lastcron_cindata  2>&1)"",""severity"":""info"",""facility"":""cron"",""time"":""2024-03-27 00:45:01 +0100""}",9627c7b3,"CMD ( /bin/timeout 239m /cineca/asdata/bin/cindata.pl g >/tmp/lastcron_cindata 2>&1)"",""severity"":""info"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}",['00:45:01']
20,"{""host"":""login01"",""ident"":""CROND"",""pid"":""59196"",""message"":""(root)","{""host"":""login01"",""ident"":""CROND"",""pid"":""59196"",""message"":""(root)","CMD ( /cinecalocal/nagios/passive/passive.pl --delay 20 --cronid 1 1>/dev/null 2>&1)"",""severity"":""info"",""facility"":""cron"",""time"":""2024-03-27 00:50:01 +0100""}",0b8b7295,"CMD ( /cinecalocal/nagios/passive/passive.pl --delay 20 --cronid <*> 1>/dev/null 2>&1)"",""severity"":""info"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}","['1 1>', '00:50:01']"
21,"{""host"":""login01"",""ident"":""CROND"",""pid"":""17399"",""message"":""(root)","{""host"":""login01"",""ident"":""CROND"",""pid"":""17399"",""message"":""(root)","CMD ( /cinecalocal/nagios/passive/passive.pl --delay 20 --cronid 1 1>/dev/null 2>&1)"",""severity"":""info"",""facility"":""cron"",""time"":""2024-03-27 01:00:01 +0100""}",0b8b7295,"CMD ( /cinecalocal/nagios/passive/passive.pl --delay 20 --cronid <*> 1>/dev/null 2>&1)"",""severity"":""info"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}","['1 1>', '01:00:01']"
