cwd,exit,items,ppid,pid,comm,timedelta,id_anomalies,num_id_anomalies
/home/matteo/Desktop/priv_esc_scripts/linpeas,0.0,2.0,29239.0,29241.0,grep,,0.0,0
/home/matteo/Desktop/priv_esc_scripts/linpeas,0.0,2.0,29242.0,29243.0,python,0.005000114440917969,0.0,0
/home/matteo/Desktop/priv_esc_scripts/linpeas,0.0,2.0,29244.0,29246.0,grep,0.037999868392944336,0.0,0
/home/matteo/Desktop/priv_esc_scripts/linpeas,0.0,2.0,29247.0,29248.0,python,0.009000062942504883,0.0,0
/home/matteo/Desktop/priv_esc_scripts/linpeas,0.0,2.0,29249.0,29251.0,grep,0.0559999942779541,0.0,0
/home/matteo/Desktop/priv_esc_scripts/linpeas,0.0,2.0,29252.0,29253.0,python,0.007999897003173828,0.0,0
/home/matteo/Desktop/priv_esc_scripts/linpeas,0.0,2.0,29254.0,29256.0,grep,0.01900005340576172,0.0,0
/home/matteo/Desktop/priv_esc_scripts/linpeas,0.0,2.0,29257.0,29258.0,python,0.006000041961669922,0.0,0
/home/matteo/Desktop/priv_esc_scripts/linpeas,0.0,2.0,29259.0,29261.0,grep,0.018000125885009766,0.0,0
/home/matteo/Desktop/priv_esc_scripts/linpeas,0.0,2.0,29262.0,29263.0,python,0.00599980354309082,0.0,0
/home/matteo/Desktop/priv_esc_scripts/linpeas,0.0,2.0,29264.0,29266.0,grep,0.019999980926513672,0.0,0
/home/matteo/Desktop/priv_esc_scripts/linpeas,0.0,2.0,29267.0,29268.0,python,0.006000041961669922,0.0,0
/home/matteo/Desktop/priv_esc_scripts/linpeas,0.0,2.0,29269.0,29271.0,grep,0.019999980926513672,0.0,0
/home/matteo/Desktop/priv_esc_scripts/linpeas,0.0,2.0,29272.0,29274.0,grep,0.005000114440917969,0.0,0
/home/matteo/Desktop/priv_esc_scripts/linpeas,0.0,2.0,29272.0,29273.0,file,0.0,0.0,0
/home/matteo/Desktop/priv_esc_scripts/linpeas,0.0,2.0,29278.0,29279.0,python,0.010999917984008789,0.0,0
/home/matteo/Desktop/priv_esc_scripts/linpeas,0.0,2.0,29282.0,29283.0,python,0.021000146865844727,0.0,0
/home/matteo/Desktop/priv_esc_scripts/linpeas,0.0,2.0,29284.0,29286.0,grep,0.06399989128112793,0.0,0
/home/matteo/Desktop/priv_esc_scripts/linpeas,0.0,2.0,29287.0,29288.0,python,0.009000062942504883,0.0,0
/home/matteo/Desktop/priv_esc_scripts/linpeas,0.0,2.0,29289.0,29291.0,grep,0.05900001525878906,0.0,0
/home/matteo/Desktop/priv_esc_scripts/linpeas,0.0,2.0,29292.0,29293.0,python,0.006999969482421875,0.0,0
/home/matteo/Desktop/priv_esc_scripts/linpeas,0.0,2.0,29294.0,29296.0,grep,0.06599998474121094,0.0,0
/home/matteo/Desktop/priv_esc_scripts/linpeas,0.0,2.0,29297.0,29298.0,python,0.004999876022338867,0.0,0
/home/matteo/Desktop/priv_esc_scripts/linpeas,0.0,2.0,29299.0,29301.0,grep,0.02700018882751465,0.0,0
/home/matteo/Desktop/priv_esc_scripts/linpeas,0.0,2.0,29302.0,29303.0,python,0.003999948501586914,0.0,0
/home/matteo/Desktop/priv_esc_scripts/linpeas,0.0,2.0,29304.0,29306.0,grep,0.02200007438659668,0.0,0
