2024-03-27T03:45:01+01:00       {"host":"login01","ident":"CROND","pid":"39454","message":"(a07cmc01) CMD (source /g100_work/CMCC_medfs_0/download/set_env.sh; python /g100_work/CMCC_medfs_0/upload/dasUplSystem/mp_upld_driver.py -p $(date +%Y%m%d) -r MEDSEA -s EAS7V1  > /g100_work/CMCC_medfs_0/upload/LOGS/mp_upld_driver_log_med_`date +%Y%m%d%H%M%S`.log 2>&1)","severity":"info","facility":"cron","time":"2024-03-27 03:45:01 +0100"}
2024-03-27T03:50:01+01:00       {"host":"login01","ident":"CROND","pid":"7430","message":"(root) CMD ( /cinecalocal/nagios/passive/passive.pl --delay 20 --cronid 1 1>/dev/null 2>&1)","severity":"info","facility":"cron","time":"2024-03-27 03:50:01 +0100"}
2024-03-27T04:00:01+01:00       {"host":"login01","ident":"CROND","pid":"15630","message":"(root) CMD ( /cinecalocal/nagios/passive/passive.pl --delay 20 --cronid 1 1>/dev/null 2>&1)","severity":"info","facility":"cron","time":"2024-03-27 04:00:01 +0100"}
2024-03-27T04:00:01+01:00       {"host":"login01","ident":"CROND","pid":"15673","message":"(a07cmc01) CMD (source /g100_work/CMCC_medfs_0/download/set_env.sh; python /g100_work/CMCC_medfs_0/upload/dasUplSystem/mp_upld_driver.py -p $(date +%Y%m%d) -r MEDSEA -s EAS7V1  > /g100_work/CMCC_medfs_0/upload/LOGS/mp_upld_driver_log_med_`date +%Y%m%d%H%M%S`.log 2>&1)","severity":"info","facility":"cron","time":"2024-03-27 04:00:01 +0100"}
2024-03-27T04:00:01+01:00       {"host":"login01","ident":"CROND","pid":"15674","message":"(a07cmc01) CMD (source /g100_work/CMCC_medfs_0/download/set_env.sh; python /g100_work/CMCC_medfs_0/download/dasDwlSystem/mp_dwld_driver.py > /g100_work/CMCC_medfs_0/download/LOGS/dasDwlSystem/mp_dwld_driver_log_`date +%Y%m%d%H%M%S`.log 2>&1)","severity":"info","facility":"cron","time":"2024-03-27 04:00:01 +0100"}
2024-03-27T04:01:01+01:00       {"host":"login01","ident":"CROND","pid":"17240","message":"(root) CMD (run-parts /etc/cron.hourly)","severity":"info","facility":"cron","time":"2024-03-27 04:01:01 +0100"}
2024-03-27T04:01:01+01:00       {"host":"login01","ident":"run-parts","pid":"17240","message":"(/etc/cron.hourly) starting 0anacron","severity":"notice","facility":"cron","time":"2024-03-27 04:01:01 +0100"}
2024-03-27T04:01:01+01:00       {"host":"login01","ident":"run-parts","pid":"17240","message":"(/etc/cron.hourly) finished 0anacron","severity":"notice","facility":"cron","time":"2024-03-27 04:01:01 +0100"}
2024-03-27T04:05:01+01:00       {"host":"login01","ident":"CROND","pid":"20519","message":"(root) CMD (/bin/logger \"STATUS_CHECK\" -p local2.info >> /tmp/lastcron_remote_log_status)","severity":"info","facility":"cron","time":"2024-03-27 04:05:01 +0100"}
2024-03-27T04:07:01+01:00       {"host":"login01","ident":"CROND","pid":"22016","message":"(root) CMD ( /cinecalocal/nagios/passive/passive.pl --delay 20 --cronid 2 1>/dev/null 2>&1)","severity":"info","facility":"cron","time":"2024-03-27 04:07:01 +0100"}
2024-03-27T04:10:01+01:00       {"host":"login01","ident":"CROND","pid":"24392","message":"(root) CMD ( /cinecalocal/nagios/passive/passive.pl --delay 20 --cronid 1 1>/dev/null 2>&1)","severity":"info","facility":"cron","time":"2024-03-27 04:10:01 +0100"}
2024-03-27T04:15:01+01:00       {"host":"login01","ident":"CROND","pid":"29081","message":"(acctdata) CMD ( /bin/timeout 239m /cineca/asdata/bin/cindata.pl g  >/tmp/lastcron_cindata  2>&1)","severity":"info","facility":"cron","time":"2024-03-27 04:15:01 +0100"}
