LineId,Date,Time,Level,Content,EventId,EventTemplate,ParameterList
16,2024-03-27T00:30:01+01:00,"{""host"":""login01"",""ident"":""CROND"",""pid"":""3889"",""message"":""(a07cmc01)","CMD (source /g100_work/CMCC_medfs_0/download/set_env.sh; python /g100_work/CMCC_medfs_0/download/dasDwlSystem/mp_dwld_driver.py > /g100_work/CMCC_medfs_0/download/LOGS/dasDwlSystem/mp_dwld_driver_log_`date +%Y%m%d%H%M%S`.log 2>&1)"",""severity""","""info"",""facility"":""cron"",""time"":""2024-03-27 00:30:01 +0100""}",3503c1c8,"""info"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}",['00:30:01']
17,2024-03-27T00:35:01+01:00,"{""host"":""login01"",""ident"":""CROND"",""pid"":""15080"",""message"":""(root)","CMD (/bin/logger \""STATUS_CHECK\"" -p local2.info >> /tmp/lastcron_remote_log_status)"",""severity""","""info"",""facility"":""cron"",""time"":""2024-03-27 00:35:01 +0100""}",3503c1c8,"""info"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}",['00:35:01']
18,2024-03-27T00:40:01+01:00,"{""host"":""login01"",""ident"":""CROND"",""pid"":""21555"",""message"":""(root)","CMD ( /cinecalocal/nagios/passive/passive.pl --delay 20 --cronid 1 1>/dev/null 2>&1)"",""severity""","""info"",""facility"":""cron"",""time"":""2024-03-27 00:40:01 +0100""}",3503c1c8,"""info"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}",['00:40:01']
19,2024-03-27T00:45:01+01:00,"{""host"":""login01"",""ident"":""CROND"",""pid"":""34730"",""message"":""(acctdata)","CMD ( /bin/timeout 239m /cineca/asdata/bin/cindata.pl g  >/tmp/lastcron_cindata  2>&1)"",""severity""","""info"",""facility"":""cron"",""time"":""2024-03-27 00:45:01 +0100""}",3503c1c8,"""info"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}",['00:45:01']
20,2024-03-27T00:50:01+01:00,"{""host"":""login01"",""ident"":""CROND"",""pid"":""59196"",""message"":""(root)","CMD ( /cinecalocal/nagios/passive/passive.pl --delay 20 --cronid 1 1>/dev/null 2>&1)"",""severity""","""info"",""facility"":""cron"",""time"":""2024-03-27 00:50:01 +0100""}",3503c1c8,"""info"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}",['00:50:01']
21,2024-03-27T01:00:01+01:00,"{""host"":""login01"",""ident"":""CROND"",""pid"":""17399"",""message"":""(root)","CMD ( /cinecalocal/nagios/passive/passive.pl --delay 20 --cronid 1 1>/dev/null 2>&1)"",""severity""","""info"",""facility"":""cron"",""time"":""2024-03-27 01:00:01 +0100""}",3503c1c8,"""info"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}",['01:00:01']
22,2024-03-27T01:00:01+01:00,"{""host"":""login01"",""ident"":""CROND"",""pid"":""17400"",""message"":""(root)","CMD (/cinecalocal/scripts/clean_scratch_local.sh 1>/dev/null 2>/dev/null)"",""severity""","""info"",""facility"":""cron"",""time"":""2024-03-27 01:00:01 +0100""}",3503c1c8,"""info"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}",['01:00:01']
23,2024-03-27T01:00:01+01:00,"{""host"":""login01"",""ident"":""CROND"",""pid"":""17414"",""message"":""(a07cmc01)","CMD (source /g100_work/CMCC_medfs_0/download/set_env.sh; python /g100_work/CMCC_medfs_0/download/dasDwlSystem/mp_dwld_driver.py > /g100_work/CMCC_medfs_0/download/LOGS/dasDwlSystem/mp_dwld_driver_log_`date +%Y%m%d%H%M%S`.log 2>&1)"",""severity""","""info"",""facility"":""cron"",""time"":""2024-03-27 01:00:01 +0100""}",3503c1c8,"""info"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}",['01:00:01']
24,2024-03-27T01:01:01+01:00,"{""host"":""login01"",""ident"":""CROND"",""pid"":""19074"",""message"":""(root)","CMD (run-parts /etc/cron.hourly)"",""severity""","""info"",""facility"":""cron"",""time"":""2024-03-27 01:01:01 +0100""}",3503c1c8,"""info"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}",['01:01:01']
25,2024-03-27T01:01:01+01:00,"{""host"":""login01"",""ident"":""run-parts"",""pid"":""19074"",""message"":""(/etc/cron.hourly)","starting 0anacron"",""severity""","""notice"",""facility"":""cron"",""time"":""2024-03-27 01:01:01 +0100""}",6b20d54c,"""notice"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}",['01:01:01']
26,2024-03-27T01:01:01+01:00,"{""host"":""login01"",""ident"":""anacron"",""pid"":""19083"",""message"":""Anacron","started on 2024-03-27"",""severity""","""notice"",""facility"":""cron"",""time"":""2024-03-27 01:01:01 +0100""}",6b20d54c,"""notice"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}",['01:01:01']
27,2024-03-27T01:01:01+01:00,"{""host"":""login01"",""ident"":""anacron"",""pid"":""19083"",""message"":""Normal","exit (0 jobs run)"",""severity""","""notice"",""facility"":""cron"",""time"":""2024-03-27 01:01:01 +0100""}",6b20d54c,"""notice"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}",['01:01:01']
28,2024-03-27T01:01:01+01:00,"{""host"":""login01"",""ident"":""run-parts"",""pid"":""19074"",""message"":""(/etc/cron.hourly)","finished 0anacron"",""severity""","""notice"",""facility"":""cron"",""time"":""2024-03-27 01:01:01 +0100""}",6b20d54c,"""notice"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}",['01:01:01']
29,2024-03-27T01:05:01+01:00,"{""host"":""login01"",""ident"":""CROND"",""pid"":""24524"",""message"":""(root)","CMD (/bin/logger \""STATUS_CHECK\"" -p local2.info >> /tmp/lastcron_remote_log_status)"",""severity""","""info"",""facility"":""cron"",""time"":""2024-03-27 01:05:01 +0100""}",3503c1c8,"""info"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}",['01:05:01']
30,2024-03-27T01:10:01+01:00,"{""host"":""login01"",""ident"":""CROND"",""pid"":""31045"",""message"":""(root)","CMD ( /cinecalocal/nagios/passive/passive.pl --delay 20 --cronid 1 1>/dev/null 2>&1)"",""severity""","""info"",""facility"":""cron"",""time"":""2024-03-27 01:10:01 +0100""}",3503c1c8,"""info"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}",['01:10:01']
31,2024-03-27T01:15:01+01:00,"{""host"":""login01"",""ident"":""CROND"",""pid"":""37841"",""message"":""(acctdata)","CMD ( /bin/timeout 239m /cineca/asdata/bin/cindata.pl g  >/tmp/lastcron_cindata  2>&1)"",""severity""","""info"",""facility"":""cron"",""time"":""2024-03-27 01:15:01 +0100""}",3503c1c8,"""info"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}",['01:15:01']
32,2024-03-27T01:20:01+01:00,"{""host"":""login01"",""ident"":""CROND"",""pid"":""1762"",""message"":""(root)","CMD ( /cinecalocal/nagios/passive/passive.pl --delay 20 --cronid 1 1>/dev/null 2>&1)"",""severity""","""info"",""facility"":""cron"",""time"":""2024-03-27 01:20:01 +0100""}",3503c1c8,"""info"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}",['01:20:01']
33,2024-03-27T01:30:01+01:00,"{""host"":""login01"",""ident"":""CROND"",""pid"":""21990"",""message"":""(root)","CMD ( /cinecalocal/nagios/passive/passive.pl --delay 20 --cronid 1 1>/dev/null 2>&1)"",""severity""","""info"",""facility"":""cron"",""time"":""2024-03-27 01:30:01 +0100""}",3503c1c8,"""info"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}",['01:30:01']
