cwd,exit,items,ppid,pid,comm,timedelta,pid_timedelta,id_anomalies,num_id_anomalies
/,0.0,2.0,711.0,2090.0,pkla-check-auth,0.032000064849853516,0 days 00:00:00.032000065,1.0,0
/,0.0,2.0,711.0,2092.0,pkla-check-auth,0.03099989891052246,0 days 00:00:00.030999899,1.0,0
/,0.0,2.0,1.0,2087.0,fprintd,0.002000093460083008,0 days 00:00:00.002000094,1.0,8
/,0.0,2.0,711.0,2094.0,pkla-check-auth,0.017999887466430664,0 days 00:00:00.017999887,1.0,0
,,,,,,0.051000118255615234,,0.0,0
/,0.0,2.0,1.0,2100.0,realmd,0.0989999771118164,,1.0,8
,,,,,,0.0709998607635498,,0.0,0
/,0.0,2.0,711.0,2113.0,pkla-check-auth,0.35700011253356934,,1.0,0
/,0.0,2.0,1.0,2112.0,colord,-0.013000011444091797,-1 days +23:59:59.986999988,1.0,0
/,0.0,2.0,711.0,2116.0,pkla-check-auth,0.0969998836517334,0 days 00:00:00.096999885,1.0,0
/var/lib/gdm,0.0,2.0,2123.0,2124.0,gjs,0.08800005912780762,0 days 00:00:00.088000059,1.0,0
/var/lib/gdm,0.0,2.0,1324.0,2125.0,sh,0.023999929428100586,0 days 00:00:00.023999930,1.0,0
/var/lib/gdm,0.0,2.0,1324.0,2125.0,spice-vdagent,0.013000011444091797,0 days 00:00:00.013000011,1.0,0
,,,,,,0.2200000286102295,,0.0,0
/var/lib/gdm,-2.0,1.0,1339.0,2134.0,gnome-shell,0.3559999465942383,,1.0,0
/var/lib/gdm,-2.0,1.0,1339.0,2134.0,gnome-shell,0.0010001659393310547,0 days 00:00:00.001000166,1.0,0
/var/lib/gdm,0.0,2.0,1339.0,2134.0,ibus-daemon,0.0,0 days 00:00:00,1.0,0
/,0.0,2.0,711.0,2139.0,pkla-check-auth,0.12099981307983398,0 days 00:00:00.120999813,1.0,0
/var/lib/gdm,0.0,2.0,2138.0,2141.0,gjs,0.03500008583068848,0 days 00:00:00.035000086,1.0,0
/var/lib/gdm,0.0,2.0,2134.0,2147.0,ibus-dconf,0.13100004196166992,0 days 00:00:00.131000042,1.0,0
/var/lib/gdm,0.0,2.0,1.0,2149.0,ibus-x11,0.026999950408935547,0 days 00:00:00.026999950,1.0,0
/var/lib/gdm,0.0,2.0,2152.0,2154.0,ibus-portal,0.0280001163482666,0 days 00:00:00.028000117,1.0,0
/,0.0,2.0,711.0,2156.0,pkla-check-auth,0.07999992370605469,0 days 00:00:00.079999924,1.0,0
/var/lib/gdm,0.0,2.0,1598.0,2166.0,sh,0.13199996948242188,0 days 00:00:00.131999969,1.0,0
/var/lib/gdm,0.0,2.0,1598.0,2166.0,xkbcomp,0.029000043869018555,0 days 00:00:00.029000044,1.0,0
/var/lib/gdm,0.0,2.0,2134.0,2173.0,ibus-engine-sim,0.12100005149841309,0 days 00:00:00.121000051,1.0,0
/,-2.0,1.0,1.0,2178.0,gdm,0.051999807357788086,0 days 00:00:00.051999808,1.0,8
/,-2.0,1.0,1.0,2178.0,gdm,0.0,0 days 00:00:00,1.0,8
/,-2.0,1.0,1.0,2178.0,gdm,0.0,0 days 00:00:00,1.0,8
/,0.0,2.0,1.0,2178.0,plymouth,0.0,0 days 00:00:00,1.0,8
,,,,,,0.043000221252441406,,0.0,0
/,0.0,2.0,1.0,2181.0,systemd-update-,0.017999887466430664,,1.0,8
,,,,,,0.07800006866455078,,0.0,0
,,,,,,0.05299997329711914,,0.0,0
,,,,,,0.0,,0.0,0
,,,,,,1.9579999446868896,,0.0,0
,,,,,,0.30900001525878906,,0.0,0
,,,,,,-4.677999973297119,,0.0,0
/,0.0,2.0,1055.0,2187.0,gdm-session-wor,7.789999961853027,,1.0,8
/,0.0,2.0,2187.0,2190.0,unix_chkpwd,0.09299993515014648,0 days 00:00:00.092999935,1.0,8
/,0.0,2.0,2187.0,2196.0,unix_chkpwd,4.2850000858306885,0 days 00:00:04.285000086,1.0,8
,,,,,,0.02200007438659668,,0.0,0
/,0.0,2.0,2187.0,2197.0,unix_chkpwd,0.006000041961669922,,1.0,8
,,,,,,0.014999866485595703,,0.0,0
,,,,,,0.003999948501586914,,0.0,0
,4.0,0.0,1055.0,2187.0,gdm-session-wor,0.01100015640258789,,5.0,4
,,,,,,0.003999948501586914,,0.0,0
/,0.0,2.0,1.0,2198.0,systemd-user-ru,0.056999921798706055,,1.0,8
/,0.0,2.0,711.0,2199.0,pkla-check-auth,0.02200007438659668,0 days 00:00:00.022000074,1.0,0
,,,,,,0.05799984931945801,,0.0,0
/,0.0,2.0,711.0,2202.0,pkla-check-auth,0.031000137329101562,,1.0,0
/,0.0,2.0,2201.0,2203.0,unix_chkpwd,0.009999990463256836,0 days 00:00:00.009999989,1.0,8
,,,,,,0.009000062942504883,,0.0,0
,,,,,,0.0,,0.0,0
,,,,,,0.0,,0.0,0
,4.0,0.0,1.0,2201.0,(systemd),0.0,,1.0,8
,,,,,,0.011999845504760742,,0.0,0
/,0.0,2.0,1.0,2201.0,systemd,0.003000020980834961,,0.0,0
/,0.0,2.0,711.0,2206.0,pkla-check-auth,0.04200005531311035,0 days 00:00:00.042000055,1.0,0
/,0.0,2.0,711.0,2209.0,pkla-check-auth,0.039999961853027344,0 days 00:00:00.039999962,1.0,0
/,0.0,2.0,2208.0,2210.0,30-systemd-envi,0.002000093460083008,0 days 00:00:00.002000093,0.0,0
/,0.0,3.0,2208.0,2211.0,60-flatpak,0.021999835968017578,0 days 00:00:00.021999836,0.0,0
/,0.0,2.0,2208.0,2211.0,flatpak,0.0070002079010009766,0 days 00:00:00.007000208,0.0,0
/,0.0,2.0,711.0,2213.0,pkla-check-auth,0.037999868392944336,0 days 00:00:00.037999869,1.0,0
/,0.0,2.0,2214.0,2215.0,podman-user-gen,0.02200007438659668,0 days 00:00:00.022000074,0.0,0
/,0.0,2.0,2214.0,2216.0,systemd-xdg-aut,0.0,0 days 00:00:00,0.0,0
/,0.0,2.0,711.0,2222.0,pkla-check-auth,0.11100006103515625,0 days 00:00:00.111000061,1.0,0
/home/matteo,0.0,2.0,2201.0,2224.0,systemctl,0.1699998378753662,0 days 00:00:00.169999838,0.0,0
/home/matteo,0.0,2.0,2201.0,2225.0,systemd-tmpfile,0.016000032424926758,0 days 00:00:00.016000032,0.0,0
,,,,,,0.04699993133544922,,0.0,0
/,0.0,2.0,711.0,2226.0,pkla-check-auth,0.021000146865844727,,1.0,0
/,0.0,2.0,2187.0,2228.0,gnome-keyring-d,0.017999887466430664,0 days 00:00:00.017999887,0.0,0
/,0.0,2.0,711.0,2229.0,pkla-check-auth,0.026000022888183594,0 days 00:00:00.026000023,1.0,0
,,,,,,0.03900003433227539,,0.0,0
/,0.0,2.0,711.0,2235.0,pkla-check-auth,0.0559999942779541,,1.0,0
/,0.0,3.0,2187.0,2237.0,Default,0.03299999237060547,0 days 00:00:00.032999992,5.0,4
/home/matteo,0.0,2.0,2187.0,2238.0,gdm-wayland-ses,0.031000137329101562,0 days 00:00:00.031000137,0.0,0
/,0.0,2.0,711.0,2239.0,pkla-check-auth,0.009999990463256836,0 days 00:00:00.009999991,1.0,0
/home/matteo,0.0,2.0,2201.0,2241.0,dbus-broker-lau,0.025999784469604492,0 days 00:00:00.025999784,0.0,0
/home/matteo,0.0,2.0,2241.0,2243.0,dbus-broker,0.06400012969970703,0 days 00:00:00.064000129,0.0,0
/,0.0,2.0,711.0,2244.0,pkla-check-auth,0.09100008010864258,0 days 00:00:00.091000081,1.0,0
/home/matteo,-2.0,1.0,2238.0,2246.0,gdm-wayland-ses,0.06499981880187988,0 days 00:00:00.064999819,0.0,0
/home/matteo,-2.0,1.0,2238.0,2246.0,gdm-wayland-ses,0.0,0 days 00:00:00,0.0,0
/home/matteo,0.0,3.0,2238.0,2246.0,gnome-session,0.0,0 days 00:00:00,0.0,0
/home/matteo,0.0,2.0,2238.0,2246.0,bash,0.0280001163482666,0 days 00:00:00.028000116,0.0,0
/home/matteo,0.0,2.0,2238.0,2246.0,bash,0.01699995994567871,0 days 00:00:00.016999960,0.0,0
/home/matteo,0.0,2.0,2246.0,2248.0,id,0.01699995994567871,0 days 00:00:00.016999960,0.0,0
/home/matteo,0.0,2.0,2249.0,2250.0,hostnamectl,0.005000114440917969,0 days 00:00:00.005000115,0.0,0
